provincia_ciudad;area_ciudad;altura_ciudad;habitantes_ciudad;densidad_ciudad;promedio_ciudad;mediana_ciudad;percentil10_ciudad;percentil25_ciudad;percentil75_ciudad;percentil90_ciudad
Huila_Neiva;1553;442;347501;203.5;130800;124500;114000;120000;139750;148600
Huila_Palermo;695;609;32104;8668.33;147800;150000;113000;131250;163750;181800
Magdalena_Santa Marta;2393.35;15;538612;1755.68;182700;175000;100700;160750;218250;253000
Meta_San Martin;5959;405;24670;4.01;111800;110000;85000;92750;117750;150000
Meta_Acacias;1169;498;70469;63.8;148500;137500;117000;122500;172500;202000
Norte de Santander_Los Patios;133;410;76524;603.27;154700;156000;86700;104000;191500;223000
Norte de Santander_Villa del Rosario;228;440;88433;306.29;114200;120000;89400;91250;127250;133000
Quindio_Armenia;650;1551;304314;2151.61;166400;167500;119700;129000;185000;225000
Risaralda_Pereira;702;1411;477027;841.25;221500;227500;165500;202500;247500;276500
Risaralda_Santa Rosa de Cabal;486;1715;110850;129.48;174000;180000;123500;137500;215000;220500
Risaralda_Marsella;149;1575;23299;156.37;151000;167500;89000;106250;180000;200000
Santander_Bucaramanga;162;959;607428;3587.22;223900;245000;139500;192500;264750;267500
Santander_Floridablanca;97;925;316200;2754.33;269200;265000;212500;231000;316250;339600
Santander_Piedecuesta;344;1005;186167;308.85;133500;132500;114500;126250;140000;147000
Santander_Giron;475.14;777;210403;337.59;123300;125000;91800;96500;143750;157800
Santander_Barrancabermeja;1154;75;210729;165.41;184800;180000;142500;147750;210000;243800
Santander_San Gil;149.5;1114;45752;364.58;124200;111000;79000;86250;143750;178000
Santander_Curita;247;1409;11899;146.5;106400;100000;79000;85000;123000;150000
Tolima_Ibague;1439;1285;541101;361.22;139000;136500;122600;129250;161750;165500
Tolima_Melgar;215.7;323;36047;189.92;170500;165000;140000;150000;191250;202000
Tolima_San Luis;413.54;503;19164;45.09;84000;82500;70000;75000;88750;101000
Valle del Cauca_Cali;564;1018;2445281;4382.05;326500;315500;249700;273250;395000;416400
Valle del Cauca_Jamunda;137;869;124586;168.1;164200;137500;122500;127500;171250;270300
Valle del Cauca_Palmira;1123;1001;310608;311.04;149200;142500;112800;121000;173750;188000
Valle del Cauca_Buenaventura;6078;7;423927;69.75;276000;242500;219000;221250;340000;382000
Valle del Cauca_Yumbo;227.89;1021;122718;376.29;128200;125000;110000;116250;136500;146500
Valle del Cauca_Tulua;910.55;966;218812;240.67;199900;172000;147000;150000;236250;280000
Bs.As. G.B.A. Zona Norte_Escobar;277;3;213619;771.19;275100;275000;183000;222250;334250;366300
Bs.As. G.B.A. Zona Norte_General San Martin;5.62;28;28399;5053.2;84100;75000;70400;72750;82250;92500
Bs.As. G.B.A. Zona Norte_Jose C Paz;50;35;265981;5319.62;51800;52000;37200;44250;58750;62000
Bs.As. G.B.A. Zona Norte_Malvinas Argentinas;63;22;321833;5108.46;137950;144500;44500;53625000;210000;227400
Bs.As. G.B.A. Zona Norte_Pilar;355;18;81120;228.51;328500;337500;179500;289000;400000;435500
Bs.As. G.B.A. Zona Norte_San Fernando;24;81;69111;6.3;163100;159500;109800;121500;192250;224500
Bs.As. G.B.A. Zona Norte_San Isidro;102.05;15;45190;4195.9;269400;290000;163500;206750;328750;336500
Bs.As. G.B.A. Zona Norte_San Miguel;8.78;28;72992;9124;191300;139000;120000;127500;267500;302500
Bs.As. G.B.A. Zona Norte_Tigre;102.05;2;25982;4195.9;256500;242500;171900;180000;312500;394100
Bs.As. G.B.A. Zona Norte_Vicente Lopez;33;11;270929;7955.94;220300;220000;173500;196000;237500;259000
Bs.As. G.B.A. Zona Oeste_General Rodriguez;360;28;87491;188.7;39300;39000;20000;26250;39750;45500
